#,Score,Horizontal,Vertical,ID,Series,Sort,Target,Figure,TargetID,ShotNr,X,Y,T,A,B,C,D,TimeStamp,TimeSince,HWCount,TurnCount,Band,Sensor,Flag0,Flag1,A2,B2,C2,D2
1,10.4,-3.43,2.78,1,1,0,1,0,4,8196,-1077862435,1067216230.0,16,23,23,23,23,1310596,1310500,45,1,15,65,18,8,0,0,0,0
2,10.4,4.30,2.01,2,1,0,1,0,4,8197,1072849105.0,1063383470.0,16,22,23,23,23,1314247,1314200,46,1,15,65,18,8,0,0,0,0
3,9.9,6.04,5.28,3,1,0,1,0,4,8198,1076491165.0,1075098463.0,16,23,23,23,23,1317347,1317300,47,1,15,65,18,8,0,0,0,0
4,10.2,-2.81,5.35,4,1,0,1,0,4,8199,-1080141332.0,1075225822.0,16,23,23,23,23,1321250,1321200,32,1,15,65,18,8,0,0,0,0
5,10.0,-5.93,4.32,5,1,0,1,0,4,8200,-1071182092.0,1072911026.0,16,23,23,23,23,1325582,1325500,33,1,15,65,18,8,0,0,0,0
6,10.5,3.05,-1.44,6,2,0,1,0,4,8201,1068229086.0,-1088276429.0,16,23,23,23,23,1328801,1328700,34,1,15,65,18,8,0,0,0,0
7,9.8,4.27,8.39,7,2,0,1,0,4,8202,1072719645.0,1080827965.0,16,23,23,24,23,1332681,1332600,35,1,15,65,18,8,0,0,0,0
8,10.3,5.43,0.51,8,2,0,1,0,4,8203,1075352625.0,1046985325.0,16,22,23,23,23,1336606,1336500,36,1,15,65,18,8,0,0,0,0
9,10.7,-1.87,-1.29,9,2,0,1,0,4,8204,-1085111287.0,-1089414835.0,16,23,23,24,23,1340000,1339900,37,1,15,65,18,8,0,0,0,0
10,10.3,-2.47,5.01,10,2,0,1,0,4,8205,-1081406370.0,1074593417.0,16,23,23,23,23,1342938,1342900,38,1,15,65,18,8,0,0,0,0
11,10.4,1.85,3.60,11,2,0,1,0,4,8206,1062244621.0,1070254245.0,16,23,23,23,23,1347896,1347800,39,1,15,65,18,8,0,0,0,0
12,10.5,-1.17,3.53,12,2,0,1,0,4,8207,-1090301517.0,1070001166.0,16,23,23,23,24,1352923,1352900,40,1,15,65,18,8,0,0,0,0
13,10.7,0.79,1.91,13,2,0,1,0,4,8208,1051831241.0,1062751359.0,16,23,23,23,23,1355966,1355900,41,1,15,65,18,8,0,0,0,0
14,10.6,0.51,3.15,14,2,0,1,0,4,8209,1046986952.0,1068609495.0,16,22,23,23,23,1360126,1360100,42,1,15,65,18,8,0,0,0,0
15,10.8,-0.12,-1.05,15,2,0,1,0,4,8210,-1118286116.0,-1091854490.0,16,22,23,23,23,1362768,1362700,43,1,15,65,18,8,0,0,0,0
16,10.5,-0.60,3.34,16,2,0,1,0,4,8211,-1098436517.0,1069305696.0,16,23,23,23,23,1367095,1367000,44,1,15,65,18,8,0,0,0,0
17,10.3,3.51,-3.51,17,2,0,1,0,4,8212,1069938184.0,-1077545464.0,16,22,23,23,23,1370496,1370400,45,1,15,65,18,8,0,0,0,0
18,10.4,2.25,-3.82,18,2,0,1,0,4,8213,1065156425.0,-1076405948.0,16,23,23,23,23,1374168,1374100,46,1,15,65,18,8,0,0,0,0
